FileName,jsjiami_unweighted,jsjiami_jsdec,jsjiami_illu,jsjiami_sd,jsjiami_safe,jsjiami_recover_unweighted
100094.js,3.0,2.0,3.0,3.0,5.0,0.0
101009.js,3.0,2.0,3.0,3.0,4.0,0.0
101085.js,1.0,0.5,1.0,1.0,2.0,0.5
101196.js,2.0,1.0,2.0,3.0,3.0,0.0
101223.js,3.0,2.0,3.0,3.0,5.0,0.0
101529.js,3.0,2.0,3.0,3.0,5.0,0.0
101709.js,3.0,2.0,3.0,3.0,5.0,0.0
101800.js,1.0,0.5,1.0,1.0,2.0,0.5
102055.js,3.0,2.0,3.0,3.0,5.0,0.0
102202.js,3.0,2.0,3.0,3.0,5.0,0.0
102658.js,2.0,1.0,2.0,3.0,3.0,0.0
102694.js,2.0,1.0,2.0,3.0,3.0,0.0
102952.js,3.0,2.0,3.0,3.0,5.0,0.0
103438.js,2.0,1.0,2.0,3.0,3.0,0.0
103695.js,3.0,2.0,3.0,3.0,5.0,0.0
13070.js,3.0,2.0,3.0,3.0,-1.0,0.0
13312.js,2.0,1.5,2.0,1.0,-1.0,0.5
13620.js,3.0,2.0,3.0,3.0,-1.0,0.0
13628.js,0.2727272727272727,0.3636363636363637,0.18181818181818185,0.6363636363636364,-1.0,0.6363636363636364
13693.js,0.25,0.0,1.0,0.0,-1.0,0.75
13749.js,4.0,3.0,4.0,3.0,7.0,1.0
1460.js,3.0,2.0,3.0,3.0,-1.0,0.0
15361.js,2.0,1.0,2.0,3.0,-1.0,0.0
16222.js,3.0,2.0,3.0,3.0,-1.0,0.0
17569.js,2.0,1.0,2.0,3.0,-1.0,0.0
18831.js,3.0,2.0,3.0,3.0,5.0,0.0
18887.js,3.0,2.0,3.0,3.0,5.0,0.0
19732.js,0.2,0.0,0.2,0.2,0.8,0.8
19764.js,1.5,1.0,2.0,1.0,3.5,0.5
19765.js,2.0,1.5,2.0,1.0,-1.0,0.5
19772.js,4.0,3.0,4.0,3.0,-1.0,0.0
20050.js,2.0,1.5,2.0,1.0,-1.0,0.5
20134.js,1.5,1.0,1.0,1.0,-1.0,0.5
20226.js,3.0,2.0,3.0,3.0,3.0,0.0
20252.js,3.0,2.0,3.0,3.0,3.0,0.0
20268.js,4.0,3.0,4.0,3.0,6.0,0.0
20473.js,2.0,1.0,2.0,3.0,3.0,0.0
20524.js,3.0,2.0,3.0,3.0,5.0,0.0
